Academic Year,County Code,District Code,School Code,County Name,District Name,School Name
2021-2022,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community
2021-2022,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court
2021-2022,01,10017,0130625,Alameda,Alameda County Office of Education,Alternatives in Action
2021-2022,01,10017,0137448,Alameda,Alameda County Office of Education,Aurum Preparatory Academy
2021-2022,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education
2021-2022,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay
2021-2022,01,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy
2021-2022,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology
2021-2022,01,10017,0138867,Alameda,Alameda County Office of Education,Hayward Collegiate Charter
2021-2022,01,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy
2021-2022,01,10017,0131581,Alameda,Alameda County Office of Education,Oakland Unity Middle
2021-2022,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy
2021-2022,01,10017,0125567,Alameda,Alameda County Office of Education,Urban Montessori Charter
2021-2022,01,10017,0124172,Alameda,Alameda County Office of Education,Yu Ming Charter
2021-2022,01,31609,0131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind
2021-2022,01,31617,0131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont
2021-2022,01,61119,0130609,Alameda,Alameda Unified,Alameda Community Learning Center
2021-2022,01,61119,0130229,Alameda,Alameda Unified,Alameda High
2021-2022,01,61119,0106401,Alameda,Alameda Unified,Alameda Science and Technology Institute
2021-2022,01,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary
2021-2022,01,61119,6110779,Alameda,Alameda Unified,Bay Farm
2021-2022,01,61119,6090013,Alameda,Alameda Unified,Edison Elementary
2021-2022,01,61119,0132142,Alameda,Alameda Unified,Encinal Junior/Senior High
2021-2022,01,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary
2021-2022,01,61119,6090039,Alameda,Alameda Unified,Franklin Elementary
2021-2022,01,61119,0134304,Alameda,Alameda Unified,Island High (Continuation)
2021-2022,01,61119,6090054,Alameda,Alameda Unified,Lincoln Middle
2021-2022,01,61119,6090047,Alameda,Alameda Unified,Love Elementary
2021-2022,01,61119,0139220,Alameda,Alameda Unified,Maya Lin
2021-2022,01,61119,0119222,Alameda,Alameda Unified,Nea Community Learning Center
2021-2022,01,61119,0000001,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools"
2021-2022,01,61119,0111765,Alameda,Alameda Unified,Ruby Bridges Elementary
2021-2022,01,61119,0122085,Alameda,Alameda Unified,The Academy of Alameda
2021-2022,01,61119,0131805,Alameda,Alameda Unified,The Academy of Alameda Elementary
2021-2022,01,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle
2021-2022,01,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary
2021-2022,01,61127,0130450,Alameda,Albany City Unified,Albany High
2021-2022,01,61127,6090161,Alameda,Albany City Unified,Albany Middle
2021-2022,01,61127,6090146,Alameda,Albany City Unified,Cornell Elementary
2021-2022,01,61127,0130294,Alameda,Albany City Unified,MacGregor High (Continuation)
2021-2022,01,61127,6095376,Alameda,Albany City Unified,Marin Elementary
2021-2022,01,61127,0000001,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools"
2021-2022,01,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary
2021-2022,01,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier
2021-2022,01,61143,0131177,Alameda,Berkeley Unified,Berkeley High
2021-2022,01,61143,0134924,Alameda,Berkeley Unified,Berkeley Technology Academy
2021-2022,01,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary
2021-2022,01,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary
2021-2022,01,61143,6105316,Alameda,Berkeley Unified,John Muir Elementary
2021-2022,01,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle
2021-2022,01,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary
2021-2022,01,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle
2021-2022,01,61143,0000001,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools"
2021-2022,01,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary at West Campus
2021-2022,01,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science
2021-2022,01,61143,6090252,Alameda,Berkeley Unified,Ruth Acty Elementary
2021-2022,01,61143,6090278,Alameda,Berkeley Unified,Sylvia Mendez Elementary
2021-2022,01,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary
2021-2022,01,61143,6090328,Alameda,Berkeley Unified,Washington Elementary
2021-2022,01,61143,6056865,Alameda,Berkeley Unified,Willard Middle
2021-2022,01,61150,6097653,Alameda,Castro Valley Unified,Canyon Middle
2021-2022,01,61150,6090351,Alameda,Castro Valley Unified,Castro Valley Elementary
2021-2022,01,61150,0132225,Alameda,Castro Valley Unified,Castro Valley High
2021-2022,01,61150,0133876,Alameda,Castro Valley Unified,Castro Valley Virtual Academy
2021-2022,01,61150,6090369,Alameda,Castro Valley Unified,Chabot Elementary
2021-2022,01,61150,6090385,Alameda,Castro Valley Unified,Creekside Middle
2021-2022,01,61150,6090393,Alameda,Castro Valley Unified,Independent Elementary
2021-2022,01,61150,6113005,Alameda,Castro Valley Unified,Jensen Ranch Elementary
2021-2022,01,61150,6090401,Alameda,Castro Valley Unified,Marshall Elementary
2021-2022,01,61150,0000001,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools"
2021-2022,01,61150,6090419,Alameda,Castro Valley Unified,Palomares Elementary
2021-2022,01,61150,6090435,Alameda,Castro Valley Unified,Proctor Elementary
2021-2022,01,61150,0135533,Alameda,Castro Valley Unified,Redwood Continuation High
2021-2022,01,61150,0130047,Alameda,Castro Valley Unified,Roy A. Johnson High
2021-2022,01,61150,6090468,Alameda,Castro Valley Unified,Stanton Elementary
2021-2022,01,61150,6090484,Alameda,Castro Valley Unified,Vannoy Elementary
2021-2022,01,61168,6090492,Alameda,Emery Unified,Anna Yates Elementary
2021-2022,01,61168,0132746,Alameda,Emery Unified,Emery Secondary
2021-2022,01,61176,0130062,Alameda,Fremont Unified,American High
2021-2022,01,61176,6104723,Alameda,Fremont Unified,Ardenwood Elementary
2021-2022,01,61176,6000558,Alameda,Fremont Unified,Brier Elementary
2021-2022,01,61176,6089320,Alameda,Fremont Unified,Brookvale Elementary
2021-2022,01,61176,6000566,Alameda,Fremont Unified,Cabrillo Elementary
2021-2022,01,61176,6056873,Alameda,Fremont Unified,Centerville Junior High
2021-2022,01,61176,0130534,Alameda,Fremont Unified,Circle of Independent Learning
2021-2022,01,61176,6000590,Alameda,Fremont Unified,E. M. Grimmer Elementary
2021-2022,01,61176,6111330,Alameda,Fremont Unified,Forest Park Elementary
2021-2022,01,61176,6106983,Alameda,Fremont Unified,Fred E. Weibel Elementary
2021-2022,01,61176,6056881,Alameda,Fremont Unified,G. M. Walters Middle
2021-2022,01,61176,6000624,Alameda,Fremont Unified,Glenmoor Elementary
2021-2022,01,61176,6000640,Alameda,Fremont Unified,Harvey Green Elementary
2021-2022,01,61176,0134270,Alameda,Fremont Unified,Irvington High
2021-2022,01,61176,6000665,Alameda,Fremont Unified,J. Haley Durham Elementary
2021-2022,01,61176,6000673,Alameda,Fremont Unified,James Leitch Elementary
2021-2022,01,61176,6000541,Alameda,Fremont Unified,John Blacow Elementary
2021-2022,01,61176,0134452,Alameda,Fremont Unified,John F. Kennedy High
2021-2022,01,61176,6000723,Alameda,Fremont Unified,John G. Mattos Elementary
2021-2022,01,61176,6066468,Alameda,Fremont Unified,John Gomes Elementary
2021-2022,01,61176,6056907,Alameda,Fremont Unified,John M. Horner Middle
2021-2022,01,61176,6000681,Alameda,Fremont Unified,Joseph Azevada Elementary
2021-2022,01,61176,6090526,Alameda,Fremont Unified,Joshua Chadbourne Elementary
2021-2022,01,61176,6090534,Alameda,Fremont Unified,Mission San Jose Elementary
2021-2022,01,61176,0135244,Alameda,Fremont Unified,Mission San Jose High
2021-2022,01,61176,6000749,Alameda,Fremont Unified,Mission Valley Elementary
2021-2022,01,61176,6000756,Alameda,Fremont Unified,Niles Elementary
2021-2022,01,61176,0000001,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools"
2021-2022,01,61176,6000764,Alameda,Fremont Unified,O. N. Hirsch Elementary
2021-2022,01,61176,6090542,Alameda,Fremont Unified,Oliveira Elementary
2021-2022,01,61176,6000798,Alameda,Fremont Unified,Parkmont Elementary
2021-2022,01,61176,6000806,Alameda,Fremont Unified,Patterson Elementary
2021-2022,01,61176,0130138,Alameda,Fremont Unified,Robertson High (Continuation)
2021-2022,01,61176,6090559,Alameda,Fremont Unified,Steven Millard Elementary
2021-2022,01,61176,6056915,Alameda,Fremont Unified,Thornton Junior High
2021-2022,01,61176,6000715,Alameda,Fremont Unified,Tom Maloney Elementary
2021-2022,01,61176,6000830,Alameda,Fremont Unified,Vallejo Mill Elementary
2021-2022,01,61176,0130435,Alameda,Fremont Unified,Vista Alternative
2021-2022,01,61176,6000848,Alameda,Fremont Unified,Warm Springs Elementary
2021-2022,01,61176,6089619,Alameda,Fremont Unified,Warwick Elementary
2021-2022,01,61176,0138693,Alameda,Fremont Unified,Washington High
2021-2022,01,61176,6056923,Alameda,Fremont Unified,William Hopkins Junior High
2021-2022,01,61176,0127233,Alameda,Fremont Unified,Young Adult Program
2021-2022,01,61192,6056956,Alameda,Hayward Unified,Anthony W. Ochoa Middle
2021-2022,01,61192,6000889,Alameda,Hayward Unified,Bowman Elementary
2021-2022,01,61192,0133009,Alameda,Hayward Unified,Brenkwitz High
2021-2022,01,61192,6056931,Alameda,Hayward Unified,Bret Harte Middle
2021-2022,01,61192,6000905,Alameda,Hayward Unified,Burbank Elementary
2021-2022,01,61192,6056949,Alameda,Hayward Unified,Cesar Chavez Middle
2021-2022,01,61192,6000913,Alameda,Hayward Unified,Cherryland Elementary
2021-2022,01,61192,0000000,Alameda,Hayward Unified,District Office
2021-2022,01,61192,6000921,Alameda,Hayward Unified,East Avenue Elementary
2021-2022,01,61192,6090583,Alameda,Hayward Unified,Eden Gardens Elementary
2021-2022,01,61192,6000947,Alameda,Hayward Unified,Eldridge Elementary
2021-2022,01,61192,6000962,Alameda,Hayward Unified,Fairview Elementary
2021-2022,01,61192,6113815,Alameda,Hayward Unified,Faith Ringgold School of Arts and Science
2021-2022,01,61192,6000988,Alameda,Hayward Unified,Glassbrook Elementary
2021-2022,01,61192,6000996,Alameda,Hayward Unified,Harder Elementary
2021-2022,01,61192,0133629,Alameda,Hayward Unified,Hayward High
2021-2022,01,61192,0127944,Alameda,Hayward Unified,Hayward Twin Oaks Montessori
2021-2022,01,61192,0137646,Alameda,Hayward Unified,Impact Academy of Arts & Technology
2021-2022,01,61192,0127696,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy
2021-2022,01,61192,0108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward
2021-2022,01,61192,6001044,Alameda,Hayward Unified,Longwood Elementary
2021-2022,01,61192,6001051,Alameda,Hayward Unified,Lorin A. Eden Elementary
2021-2022,01,61192,6066476,Alameda,Hayward Unified,"Martin Luther King, Jr. Middle"
2021-2022,01,61192,0135319,Alameda,Hayward Unified,Mt. Eden High
2021-2022,01,61192,0000001,Alameda,Hayward Unified,"Nonpublic, Nonsectarian Schools"
2021-2022,01,61192,6001093,Alameda,Hayward Unified,Palma Ceia Elementary
2021-2022,01,61192,6001101,Alameda,Hayward Unified,Park Elementary
2021-2022,01,61192,6001127,Alameda,Hayward Unified,Ruus Elementary
2021-2022,01,61192,6001135,Alameda,Hayward Unified,Schafer Park Elementary
2021-2022,01,61192,6001176,Alameda,Hayward Unified,Southgate Elementary
2021-2022,01,61192,0111815,Alameda,Hayward Unified,Stonebrae Elementary
2021-2022,01,61192,6062160,Alameda,Hayward Unified,Strobridge Elementary
2021-2022,01,61192,0138339,Alameda,Hayward Unified,Tennyson High
2021-2022,01,61192,6001192,Alameda,Hayward Unified,Treeview Elementary
2021-2022,01,61192,6104566,Alameda,Hayward Unified,Tyrrell Elementary
2021-2022,01,61192,6056972,Alameda,Hayward Unified,Winton Middle
2021-2022,01,61200,6117543,Alameda,Livermore Valley Joint Unified,Altamont Creek Elementary
2021-2022,01,61200,6085773,Alameda,Livermore Valley Joint Unified,Andrew N. Christensen Middle
2021-2022,01,61200,6071906,Alameda,Livermore Valley Joint Unified,Arroyo Seco Elementary
2021-2022,01,61200,0132670,Alameda,Livermore Valley Joint Unified,Del Valle Continuation High
2021-2022,01,61200,6001242,Alameda,Livermore Valley Joint Unified,East Avenue Middle
2021-2022,01,61200,6001259,Alameda,Livermore Valley Joint Unified,Emma C. Smith Elementary
2021-2022,01,61200,0133397,Alameda,Livermore Valley Joint Unified,Granada High
2021-2022,01,61200,6001283,Alameda,Livermore Valley Joint Unified,Jackson Avenue Elementary
2021-2022,01,61200,6001291,Alameda,Livermore Valley Joint Unified,Joe Michell
2021-2022,01,61200,6001234,Alameda,Livermore Valley Joint Unified,Junction K-8
2021-2022,01,61200,0135376,Alameda,Livermore Valley Joint Unified,Lawrence Elementary
2021-2022,01,61200,6110332,Alameda,Livermore Valley Joint Unified,Leo R. Croce Elementary
2021-2022,01,61200,0134536,Alameda,Livermore Valley Joint Unified,Livermore High
2021-2022,01,61200,6001317,Alameda,Livermore Valley Joint Unified,Marylin Avenue Elementary
2021-2022,01,61200,0000001,Alameda,Livermore Valley Joint Unified,"Nonpublic, Nonsectarian Schools"
2021-2022,01,61200,6089338,Alameda,Livermore Valley Joint Unified,Rancho Las Positas Elementary
2021-2022,01,61200,6097661,Alameda,Livermore Valley Joint Unified,Sunset Elementary
2021-2022,01,61200,0130393,Alameda,Livermore Valley Joint Unified,Vineyard Alternative
2021-2022,01,61200,6001341,Alameda,Livermore Valley Joint Unified,William Mendenhall Middle
2021-2022,01,61218,6001358,Alameda,Mountain House Elementary,Mountain House Elementary
2021-2022,01,61234,6001440,Alameda,Newark Unified,August Schilling Elementary
2021-2022,01,61234,6001531,Alameda,Newark Unified,Birch Grove Intermediate
2021-2022,01,61234,6001499,Alameda,Newark Unified,Birch Grove Primary
2021-2022,01,61234,0135426,Alameda,Newark Unified,Bridgepoint High (Continuation)
2021-2022,01,61234,6001481,Alameda,Newark Unified,Coyote Hills Elementary
2021-2022,01,61234,0130484,Alameda,Newark Unified,Crossroads High (Alternative)
2021-2022,01,61234,6001457,Alameda,Newark Unified,E. L. Musick Elementary
2021-2022,01,61234,6001507,Alameda,Newark Unified,John F. Kennedy Elementary
2021-2022,01,61234,6001523,Alameda,Newark Unified,Lincoln Elementary
2021-2022,01,61234,6102917,Alameda,Newark Unified,Newark Junior High
2021-2022,01,61234,0130054,Alameda,Newark Unified,Newark Memorial High
2021-2022,01,61234,0000001,Alameda,Newark Unified,"Nonpublic, Nonsectarian Schools"
2021-2022,01,61242,0110478,Alameda,New Haven Unified,Alternative Learning Academy at Conley-Caraballo High
2021-2022,01,61242,6001572,Alameda,New Haven Unified,Alvarado Elementary
2021-2022,01,61242,6097679,Alameda,New Haven Unified,Cesar Chavez Middle
2021-2022,01,61242,0110460,Alameda,New Haven Unified,Core Learning Academy at Conley-Caraballo High
2021-2022,01,61242,0126763,Alameda,New Haven Unified,Decoto School for Independent Study
2021-2022,01,61242,6118525,Alameda,New Haven Unified,Delaine Eastin Elementary
2021-2022,01,61242,6115554,Alameda,New Haven Unified,Guy Jr. Emanuele Elementary
2021-2022,01,61242,6001606,Alameda,New Haven Unified,Hillview Crest Elementary
2021-2022,01,61242,6068266,Alameda,New Haven Unified,Itliong-Vera Cruz
2021-2022,01,61242,0134668,Alameda,New Haven Unified,James Logan High
2021-2022,01,61242,0000001,Alameda,New Haven Unified,"Nonpublic, Nonsectarian Schools"
2021-2022,01,61242,6101604,Alameda,New Haven Unified,Pioneer Elementary
2021-2022,01,61242,6001622,Alameda,New Haven Unified,Searles Elementary
2021-2022,01,61242,6115505,Alameda,New Haven Unified,Tom Kitayama Elementary
2021-2022,01,61259,0111476,Alameda,Oakland Unified,Achieve Academy
2021-2022,01,61259,6002273,Alameda,Oakland Unified,ACORN Woodland Elementary
2021-2022,01,61259,0111856,Alameda,Oakland Unified,AIMS College Prep High
2021-2022,01,61259,6113807,Alameda,Oakland Unified,AIMS College Prep Middle
2021-2022,01,61259,6001630,Alameda,Oakland Unified,Allendale Elementary
2021-2022,01,61259,0114363,Alameda,Oakland Unified,American Indian Public Charter II
2021-2022,01,61259,0115238,Alameda,Oakland Unified,ARISE High
2021-2022,01,61259,6118608,Alameda,Oakland Unified,ASCEND
2021-2022,01,61259,0109819,Alameda,Oakland Unified,Aspire Berkley Maynard Academy
2021-2022,01,61259,0128413,Alameda,Oakland Unified,Aspire College Academy
2021-2022,01,61259,0118224,Alameda,Oakland Unified,Aspire Golden State College Preparatory Academy
2021-2022,01,61259,0130666,Alameda,Oakland Unified,Aspire Lionel Wilson College Preparatory Academy
2021-2022,01,61259,6117568,Alameda,Oakland Unified,Aspire Monarch Academy
2021-2022,01,61259,0130732,Alameda,Oakland Unified,Aspire Triumph Technology Academy
2021-2022,01,61259,0106906,Alameda,Oakland Unified,Bay Area Technology
2021-2022,01,61259,6001655,Alameda,Oakland Unified,Bella Vista Elementary
2021-2022,01,61259,6056998,Alameda,Oakland Unified,Bret Harte Middle
2021-2022,01,61259,6002075,Alameda,Oakland Unified,Bridges @ Melrose Academy
2021-2022,01,61259,6001663,Alameda,Oakland Unified,Brookfield Elementary
2021-2022,01,61259,6001689,Alameda,Oakland Unified,Burckhalter Elementary
2021-2022,01,61259,6001697,Alameda,Oakland Unified,Carl B. Munck Elementary
2021-2022,01,61259,0125161,Alameda,Oakland Unified,Castlemont High
2021-2022,01,61259,6001648,Alameda,Oakland Unified,Chabot Elementary
2021-2022,01,61259,6057004,Alameda,Oakland Unified,Claremont Middle
2021-2022,01,61259,6001739,Alameda,Oakland Unified,Cleveland Elementary
2021-2022,01,61259,0112797,Alameda,Oakland Unified,Coliseum College Prep Academy
2021-2022,01,61259,0106542,Alameda,Oakland Unified,Community Day
2021-2022,01,61259,6001754,Alameda,Oakland Unified,Crocker Highlands Elementary
2021-2022,01,61259,0132688,Alameda,Oakland Unified,Dewey Academy
2021-2022,01,61259,0129635,Alameda,Oakland Unified,Downtown Charter Academy
2021-2022,01,61259,0129932,Alameda,Oakland Unified,East Bay Innovation Academy
2021-2022,01,61259,0115600,Alameda,Oakland Unified,East Oakland Pride Elementary
2021-2022,01,61259,6057061,Alameda,Oakland Unified,Edna Brewer Middle
2021-2022,01,61259,0112789,Alameda,Oakland Unified,Elmhurst United Middle
2021-2022,01,61259,6001812,Alameda,Oakland Unified,Emerson Elementary
2021-2022,01,61259,0102988,Alameda,Oakland Unified,EnCompass Academy Elementary
2021-2022,01,61259,6002190,Alameda,Oakland Unified,Esperanza Elementary
2021-2022,01,61259,0132514,Alameda,Oakland Unified,Francophone Charter School of Oakland
2021-2022,01,61259,6001820,Alameda,Oakland Unified,Franklin Elementary
2021-2022,01,61259,0112813,Alameda,Oakland Unified,Fred T. Korematsu Discovery Academy
2021-2022,01,61259,0125716,Alameda,Oakland Unified,Fremont High
2021-2022,01,61259,6057020,Alameda,Oakland Unified,Frick United Academy of Language
2021-2022,01,61259,6001838,Alameda,Oakland Unified,Fruitvale Elementary
2021-2022,01,61259,6001846,Alameda,Oakland Unified,Garfield Elementary
2021-2022,01,61259,0119859,Alameda,Oakland Unified,Gateway to College at Laney College
2021-2022,01,61259,6001853,Alameda,Oakland Unified,Glenview Elementary
2021-2022,01,61259,0115584,Alameda,Oakland Unified,Global Family
2021-2022,01,61259,6001879,Alameda,Oakland Unified,Grass Valley Elementary
2021-2022,01,61259,0115618,Alameda,Oakland Unified,Greenleaf
2021-2022,01,61259,6001911,Alameda,Oakland Unified,Hillcrest
2021-2022,01,61259,0121376,Alameda,Oakland Unified,Home and Hospital Program
2021-2022,01,61259,6057046,Alameda,Oakland Unified,Hoover Elementary
2021-2022,01,61259,6001929,Alameda,Oakland Unified,Horace Mann Elementary
2021-2022,01,61259,6114011,Alameda,Oakland Unified,"Independent Study, Sojourner Truth"
2021-2022,01,61259,6118616,Alameda,Oakland Unified,International Community Elementary
2021-2022,01,61259,6001945,Alameda,Oakland Unified,Joaquin Miller Elementary
2021-2022,01,61259,0115014,Alameda,Oakland Unified,KIPP Bridge Academy
2021-2022,01,61259,6096523,Alameda,Oakland Unified,La Escuelita
2021-2022,01,61259,6001994,Alameda,Oakland Unified,Laurel Elementary
2021-2022,01,61259,0115592,Alameda,Oakland Unified,Learning Without Limits
2021-2022,01,61259,0130575,Alameda,Oakland Unified,LIFE Academy
2021-2022,01,61259,0130633,Alameda,Oakland Unified,Lighthouse Community Charter
2021-2022,01,61259,0108944,Alameda,Oakland Unified,Lighthouse Community Charter High
2021-2022,01,61259,6002018,Alameda,Oakland Unified,Lincoln Elementary
2021-2022,01,61259,0115204,Alameda,Oakland Unified,Lockwood STEAM Academy Elementary
2021-2022,01,61259,0134015,Alameda,Oakland Unified,Lodestar: A Lighthouse Community Charter Public
2021-2022,01,61259,0126748,Alameda,Oakland Unified,LPS Oakland R & D Campus
2021-2022,01,61259,6066450,Alameda,Oakland Unified,Madison Park Academy 6-12
2021-2022,01,61259,6002182,Alameda,Oakland Unified,Madison Park Academy TK-5
2021-2022,01,61259,6002042,Alameda,Oakland Unified,Manzanita Community
2021-2022,01,61259,0110247,Alameda,Oakland Unified,Manzanita SEED Elementary
2021-2022,01,61259,6002059,Alameda,Oakland Unified,Markham Elementary
2021-2022,01,61259,6072235,Alameda,Oakland Unified,"Martin Luther King, Jr. Elementary"
2021-2022,01,61259,0110189,Alameda,Oakland Unified,McClymonds High
2021-2022,01,61259,6118640,Alameda,Oakland Unified,Melrose Leadership Academy
2021-2022,01,61259,0100701,Alameda,Oakland Unified,MetWest High
2021-2022,01,61259,6002083,Alameda,Oakland Unified,Montclair Elementary
2021-2022,01,61259,6057079,Alameda,Oakland Unified,Montera Middle
2021-2022,01,61259,6001903,Alameda,Oakland Unified,New Highland Academy Elementary
2021-2022,01,61259,0000001,Alameda,Oakland Unified,"Nonpublic, Nonsectarian Schools"
2021-2022,01,61259,6117972,Alameda,Oakland Unified,North Oakland Community Charter
2021-2022,01,61259,6001713,Alameda,Oakland Unified,Oakland Academy of Knowledge
2021-2022,01,61259,6111660,Alameda,Oakland Unified,Oakland Charter Academy
2021-2022,01,61259,0114868,Alameda,Oakland Unified,Oakland Charter High
2021-2022,01,61259,0135905,Alameda,Oakland Unified,Oakland High
2021-2022,01,61259,0115667,Alameda,Oakland Unified,Oakland International High
2021-2022,01,61259,0130617,Alameda,Oakland Unified,"Oakland Military Institute, College Preparatory Academy"
2021-2022,01,61259,3030772,Alameda,Oakland Unified,Oakland School for the Arts
2021-2022,01,61259,0136051,Alameda,Oakland Unified,Oakland Technical High
2021-2022,01,61259,0100065,Alameda,Oakland Unified,Oakland Unity High
2021-2022,01,61259,6002091,Alameda,Oakland Unified,Parker
2021-2022,01,61259,6002109,Alameda,Oakland Unified,Peralta Elementary
2021-2022,01,61259,6002117,Alameda,Oakland Unified,Piedmont Avenue Elementary
2021-2022,01,61259,6002125,Alameda,Oakland Unified,Prescott Elementary
2021-2022,01,61259,0118653,Alameda,Oakland Unified,Ralph J. Bunche Continuation High
2021-2022,01,61259,0110239,Alameda,Oakland Unified,Reach Academy Elementary
2021-2022,01,61259,6002141,Alameda,Oakland Unified,Redwood Heights Elementary
2021-2022,01,61259,0110262,Alameda,Oakland Unified,Rise Community Elementary
2021-2022,01,61259,6057087,Alameda,Oakland Unified,Roosevelt Middle
2021-2022,01,61259,0130146,Alameda,Oakland Unified,Rudsdale Continuation High
2021-2022,01,61259,0110254,Alameda,Oakland Unified,Sankofa United Elementary
2021-2022,01,61259,6002174,Alameda,Oakland Unified,Sequoia Elementary
2021-2022,01,61259,0137943,Alameda,Oakland Unified,Skyline High
2021-2022,01,61259,0130179,Alameda,Oakland Unified,Street Academy Alternative High
2021-2022,01,61259,0100792,Alameda,Oakland Unified,Think College Now Elementary
2021-2022,01,61259,6002216,Alameda,Oakland Unified,Thornhill Elementary
2021-2022,01,61259,0112763,Alameda,Oakland Unified,United for Success Academy Middle
2021-2022,01,61259,6118657,Alameda,Oakland Unified,Urban Promise Academy Middle
2021-2022,01,61259,0115626,Alameda,Oakland Unified,West Oakland Middle
2021-2022,01,61259,6057095,Alameda,Oakland Unified,Westlake Middle
2021-2022,01,61259,0121228,Alameda,Oakland Unified,Young Adult Program
2021-2022,01,61275,6002281,Alameda,Piedmont City Unified,Beach Elementary
2021-2022,01,61275,6002299,Alameda,Piedmont City Unified,Havens Elementary
2021-2022,01,61275,0130286,Alameda,Piedmont City Unified,Millennium High Alternative
2021-2022,01,61275,0000001,Alameda,Piedmont City Unified,"Nonpublic, Nonsectarian Schools"
2021-2022,01,61275,0136515,Alameda,Piedmont City Unified,Piedmont High
2021-2022,01,61275,6066492,Alameda,Piedmont City Unified,Piedmont Middle
2021-2022,01,61275,6002307,Alameda,Piedmont City Unified,Wildwood Elementary
2021-2022,01,61291,6057111,Alameda,San Leandro Unified,Bancroft Middle
2021-2022,01,61291,0000000,Alameda,San Leandro Unified,District Office
2021-2022,01,61291,6002372,Alameda,San Leandro Unified,Garfield Elementary
2021-2022,01,61291,6002398,Alameda,San Leandro Unified,Jefferson Elementary
2021-2022,01,61291,6066518,Alameda,San Leandro Unified,John Muir Middle
2021-2022,01,61291,0134528,Alameda,San Leandro Unified,Lincoln High (Continuation)
2021-2022,01,61291,6002414,Alameda,San Leandro Unified,Madison Elementary
2021-2022,01,61291,6002422,Alameda,San Leandro Unified,McKinley Elementary
2021-2022,01,61291,6002430,Alameda,San Leandro Unified,Monroe Elementary
2021-2022,01,61291,0000001,Alameda,San Leandro Unified,"Nonpublic, Nonsectarian Schools"
2021-2022,01,61291,6002448,Alameda,San Leandro Unified,Roosevelt Elementary
2021-2022,01,61291,0137588,Alameda,San Leandro Unified,San Leandro High
2021-2022,01,61291,6002455,Alameda,San Leandro Unified,Washington Elementary
2021-2022,01,61291,6002463,Alameda,San Leandro Unified,Wilson Elementary
2021-2022,01,61309,0130849,Alameda,San Lorenzo Unified,Arroyo High
2021-2022,01,61309,6002505,Alameda,San Lorenzo Unified,Bay Elementary
2021-2022,01,61309,6002513,Alameda,San Lorenzo Unified,Bohannon Middle
2021-2022,01,61309,6002521,Alameda,San Lorenzo Unified,Colonial Acres Elementary
2021-2022,01,61309,6002539,Alameda,San Lorenzo Unified,Corvallis Elementary
2021-2022,01,61309,6002547,Alameda,San Lorenzo Unified,Dayton Elementary
2021-2022,01,61309,6002554,Alameda,San Lorenzo Unified,Del Rey Elementary
2021-2022,01,61309,0111799,Alameda,San Lorenzo Unified,East Bay Arts High
2021-2022,01,61309,6002562,Alameda,San Lorenzo Unified,Edendale Middle
2021-2022,01,61309,6002604,Alameda,San Lorenzo Unified,Grant Elementary
2021-2022,01,61309,6002612,Alameda,San Lorenzo Unified,Hesperian Elementary
2021-2022,01,61309,6002620,Alameda,San Lorenzo Unified,Hillside Elementary
2021-2022,01,61309,0114421,Alameda,San Lorenzo Unified,KIPP King Collegiate High
2021-2022,01,61309,0101212,Alameda,San Lorenzo Unified,KIPP Summit Academy
2021-2022,01,61309,6002653,Alameda,San Lorenzo Unified,Lorenzo Manor Elementary
2021-2022,01,61309,0000001,Alameda,San Lorenzo Unified,"Nonpublic, Nonsectarian Schools"
